season,episode,act_number,characters_in_act
1,16,2,"[""SAYID"", ""SAWYER"", ""MARY JO"", ""HIBBS"", ""KATE"", ""JACK"", ""CLAIRE"", ""CHARLIE"", ""LAURENCE""]"
1,16,3,"[""CHARLIE"", ""HURLEY"", ""SAYID"", ""KATE"", ""SAWYER""]"
1,16,4,"[""KATE"", ""SAWYER"", ""LOCKE"", ""DUCKETT"", ""BARTENDER"", ""CHRISTIAN SHEPHARD""]"
1,16,5,"[""SAYID"", ""CHARLIE"", ""SAWYER"", ""KATE"", ""DUCKETT""]"
1,16,6,"[""CHARLIE"", ""CLAIRE"", ""SAWYER"", ""JACK""]"
1,17,1,"[""MR. PAIK"", ""JIN"", ""SUN"", ""JACK"", ""CLAIRE"", ""CHARLIE"", ""MICHAEL"", ""KATE""]"
1,17,2,"[""JIN"", ""SUN"", ""BEST FRIEND"", ""MICHAEL"", ""HURLEY"", ""SHANNON"", ""SAYID"", ""WALT"", ""JACK"", ""SAWYER"", ""KATE"", ""CHARLIE""]"
1,17,3,"[""MICHAEL"", ""SUN"", ""JACK"", ""KATE"", ""WALT"", ""SAWYER"", ""CHARLIE"", ""JIN"", ""MR. PAIK"", ""HAN"", ""BOONE"", ""SAYID""]"
1,17,4,"[""SHANNON"", ""SAYID"", ""LOCKE"", ""SAWYER"", ""SUN"", ""JIN"", ""MR. PAIK"", ""WHITE SUIT"", ""HAN"", ""JACK"", ""MICHAEL"", ""HURLEY""]"
1,17,5,"[""CHARLIE"", ""HURLEY"", ""JACK"", ""SUN"", ""MICHAEL"", ""SAWYER"", ""LOCKE"", ""WALT"", ""FATHER"", ""JIN""]"
1,17,6,"[""SAYID"", ""SHANNON"", ""LOCKE"", ""WALT"", ""JIN"", ""HURLEY""]"
1,18,1,"[""JIN"", ""HURLEY"", ""MICHAEL"", ""JACK"", ""SAYID"", ""CARMEN"", ""MARY JO"", ""LOTTO OFFICIAL""]"
1,18,2,"[""HURLEY"", ""SAYID"", ""REPORTER #1"", ""REPORTER #2"", ""DIEGO"", ""TITO"", ""CHARLIE"", ""LOCKE"", ""CLAIRE"", ""JACK"", ""SHANNON"", ""CARMEN"", ""COP""]"
1,18,3,"[""HURLEY"", ""KEN HALPERIN"", ""KEN"", ""SAWYER"", ""MICHAEL"", ""WALT"", ""JIN"", ""SUN"", ""KATE"", ""SAYID"", ""CHARLIE"", ""JACK"", ""NURSE"", ""DR. CURTIS"", ""LENNY"", ""HUGO""]"
1,18,4,"[""HURLEY"", ""LENNY"", ""ORDERLY"", ""SAYID"", ""CHARLIE"", ""JACK"", ""MARTHA"", ""CLAIRE"", ""LOCKE""]"
1,18,5,"[""JACK"", ""SAYID"", ""HURLEY"", ""CHARLIE"", ""DANIELLE""]"
1,18,6,"[""LOCKE"", ""CLAIRE"", ""CHARLIE"", ""HURLEY""]"
1,19,1,"[""KID"", ""LOCKE"", ""EMILY"", ""BOONE""]"
1,19,2,"[""BOONE"", ""LOCKE"", ""MAN"", ""EMILY"", ""SAWYER"", ""SUN"", ""KATE"", ""JACK""]"
1,19,3,"[""LOCKE"", ""BOONE"", ""FRAINEY"", ""EDDIE"", ""COOPER"", ""JACK"", ""MICHAEL"", ""JIN"", ""SAWYER""]"
1,19,4,"[""LOCKE"", ""EDDIE"", ""COOPER"", ""BOONE"", ""SAWYER"", ""KATE"", ""JACK""]"
1,19,5,"[""BOONE"", ""LOCKE"", ""COOPER"", ""SAWYER"", ""JACK"", ""HURLEY"", ""RADIO VOICE""]"
1,19,6,"[""KATE"", ""JACK"", ""LOCKE"", ""NURSE"", ""EMILY"", ""EDDIE""]"
1,20,1,"[""JACK"", ""KATE"", ""HURLEY"", ""SUN"", ""MARC"", ""TUX SHOP OWNER"", ""BOONE""]"
1,20,2,"[""MICHAEL"", ""SAWYER"", ""CLAIRE"", ""KATE"", ""BOONE"", ""JACK"", ""SUN"", ""CHARLIE"", ""MARC"", ""SARAH""]"
1,20,3,"[""KATE"", ""CLAIRE"", ""JIN"", ""JACK"", ""SUN"", ""BOONE"", ""SHANNON"", ""SAYID"", ""CHARLIE"", ""SARAH"", ""HURLEY""]"
